quote_id,search_request_id,driver_id,distance_to_pickup,duration_to_pickup,quote_created_at,driver_rating,estimated_fare
e77f45a0-f82d-4897-9cbc-79b6201e6265,7c4967e0-e073-44d9-85ba-b4c45f85a76a,f863c8c3-efff-4576-a3e8-8d24dad885ae,1821,434,2022-12-21 4:52:22,4.83,64
d46d345a-2cb9-45ac-8ae8-ae4357761f72,4dd495e9-df35-455c-b560-0e1735443683,d4955a50-372b-46ab-9b92-a83a5396812c,186,38,2022-12-21 4:52:15,NA,61
fdbfca9a-9b33-438d-84cc-fe50dc210d2c,7e30e053-55fe-4cda-9a1e-971c7aad92f4,bfbe5f68-7994-4f3b-8d11-c88b147ee04b,1786,342,2022-12-21 4:52:26,5,123
972ff2ba-54a4-4c0c-ab4f-2a1edbbcc405,e47b03d1-2c39-4942-8876-2e930f5cc625,70889f56-d280-4922-bc7e-3712283c9392,986,232,2022-12-21 4:53:28,NA,62
946b13e4-1d4a-44a3-baff-45a1093f7f2f,30030fcf-9d53-478b-b871-32bdabbaba95,65f0c4fa-ea35-4261-88c6-08d2870d158b,1401,218,2022-12-21 14:58:16,NA,578
ac17220a-aba9-452e-9780-d1dd696bb4ff,8c8eb16c-c2e4-49dd-9ec5-92b51a8e50ca,d086caa2-68ea-435c-a52f-9d53cad751e5,1509,343,2022-12-21 4:52:52,NA,403
36d10193-e8f6-48fb-a53f-c4efd735035e,8c8eb16c-c2e4-49dd-9ec5-92b51a8e50ca,291af2c8-95c9-4465-967d-d297b5ff680c,1036,175,2022-12-21 4:52:53,NA,403
627ea112-27a6-43bb-b34a-47178ed639a3,97eb961a-6987-478b-9352-adecbf58925b,3a204d65-006d-4d7e-a05f-b582f87e2c2a,572,127,2022-12-21 5:46:17,NA,346
6557c1a3-9b25-4c5d-a16f-6157a7d20907,4ffcdae5-42a1-4b84-a0a4-83a4425eb095,e16717a2-1c7c-43b1-acd5-0ac97ff1814e,336,49,2022-12-21 5:46:53,NA,388
9def5ed1-f7ce-4561-8884-da45552f1785,2f0804ae-e669-4bf6-ac79-a938c3bb6181,411af778-ca95-4580-b098-db6481405a5e,1444,468,2022-12-21 6:13:17,4.79,145
ac21e9e2-a6a1-4055-ab52-77d45648e739,33aba6f7-d52c-4df0-adec-57e0e5b5707d,3e91bfd1-03b7-4915-9bfb-0408a3133758,1828,469,2022-12-21 6:23:47,4.59,154
c0b34faf-f0fa-418b-b8d4-ec1bb43e00b3,8f12fa96-35f1-409f-9e8a-16c05bfac8ca,15ef678c-a994-4870-bc04-0d84d25c9fa4,1769,346,2022-12-21 6:52:28,NA,406
7426264c-ceff-4ee9-9663-100462b68592,297fa011-d88b-40c0-8f81-d8a90d666ec2,6562ad6a-23db-49e7-99bb-0993beab018c,1061,259,2022-12-21 7:46:32,NA,66
d6f560af-4c97-40c5-b4b3-2da7fb197152,a30b4486-9106-49ed-a0be-6654c852e908,e5bc5192-fc79-4713-9aeb-5bbe225fb199,932,253,2022-12-21 14:58:41,3.54,129
acd5ab71-8014-4a38-833e-c26faa3a34d2,ee550b56-bf29-4200-b63d-56d585237431,72a0e50f-275f-4970-8deb-570ff17ab83f,909,230,2022-12-21 15:18:53,4.33,50
b0ebd171-dd3d-46f5-9e7d-429ee85679ad,8c8eb16c-c2e4-49dd-9ec5-92b51a8e50ca,4c7587f2-96c6-42a1-a582-71250a6938ab,918,193,2022-12-21 4:52:54,NA,403
ce68c8f5-58b7-42f8-87ca-baa5c955caae,8c8eb16c-c2e4-49dd-9ec5-92b51a8e50ca,521d4bff-7991-45c9-b774-b9f7ff767eac,1172,271,2022-12-21 4:52:57,5,403
6d9ebb21-c023-498e-afeb-dac03912e2b6,7dfafde0-d26b-4059-88d5-0d5963e86dd0,56208c46-8a03-4c30-a117-8642fe159c42,963,178,2022-12-21 5:04:37,4.5,83
3a6498a6-0330-4473-a843-c01c51bce67c,4d302ae7-3ed7-4d54-a714-b15723ecf61c,158c121d-8c6f-4315-b8e2-87b45e70e827,1334,219,2022-12-21 15:51:16,NA,188
746eae5b-0ad5-4132-9e55-78ba4e5f1e4f,8c8eb16c-c2e4-49dd-9ec5-92b51a8e50ca,0f1ccbc6-016c-4ab3-b478-74905534a7e5,1613,298,2022-12-21 4:52:54,NA,403
7eabb0e9-a29e-4697-aeca-f0e3dc5b40d0,79338676-7a52-4a97-850e-03f25ecb14b3,a40b3e1a-66ca-41dc-953e-413ab0c00821,1580,334,2022-12-21 4:57:24,4.83,392
1c2734c0-bcfa-4fb5-b414-12b573297d97,afe37a87-7531-4dbd-8bfd-52badc5a9703,abeab944-5480-42e8-93f3-8c786a9e69c4,1674,451,2022-12-21 5:11:55,NA,74
651b5304-9b7a-4512-87cc-683ffae35b0c,189a406c-8338-496b-b7d7-ebad0a7d54d9,fab0fc42-4121-4e7f-b6f0-d11c3e0851bc,1426,229,2022-12-21 5:51:07,4.84,210
44fb9223-337b-445d-8d13-75dddd99862c,ffc47872-0898-40a0-936b-2434d062d889,0793fd66-4a48-40fc-aca4-b4a2ce6ac27c,1106,240,2022-12-21 14:59:16,NA,166
d65df45b-52bd-47e1-b5f6-bff71b534456,60185244-4ee4-49e0-8e1d-165502943548,0d6bfa20-6994-4dc8-97f1-dd57dddaac6f,691,230,2022-12-21 4:53:45,4.79,231
6cfddda1-f93f-4321-a0cb-4ec88b93ceea,626dbe56-c2f2-461c-a9e1-b87cb94fb5e1,0bd8284f-b541-4ebd-a0ea-13987712455b,419,128,2022-12-21 5:20:41,NA,302
e003533a-d815-4162-b2d7-8452d6c8f6f1,72a1b3c9-3f47-4618-a7d5-aad73ea63714,565a84fe-ce09-4d66-abd4-65e1bac77103,387,109,2022-12-21 14:59:28,5,89
bc910a43-016d-4041-8098-b34d504a2448,c5dedf9b-47c8-48bb-9430-27aee23f4101,9a396bda-cda3-4f02-9e54-da8c18291101,1098,155,2022-12-21 15:34:13,NA,65
19d09f7e-b61d-4be1-90b4-59c3b22fc4df,3b3b29ea-5dfa-456b-ace8-7544148cf49e,158c121d-8c6f-4315-b8e2-87b45e70e827,1411,236,2022-12-21 15:48:55,NA,730
6f093c2e-f545-42a7-8093-caf89fb57dee,06e2c8e6-3def-4520-8f52-185edc864120,557a5722-7413-45cf-b08e-e248f5a73de0,1786,480,2022-12-21 15:57:01,4.51,483
5bf82614-6b6f-4bc6-bc18-05c9762aaf61,b2e7336a-0f12-4229-89cf-a53e9430d0bc,91cff9e1-9f07-45ed-b1a1-070f57ae7ba4,1259,218,2022-12-21 16:08:06,NA,243
2f598d2d-2ad6-4277-a4cc-b78ece22d741,31193839-6258-49a1-9714-7b637c810a14,0793fd66-4a48-40fc-aca4-b4a2ce6ac27c,242,44,2022-12-21 16:30:37,NA,138
6389d202-aa36-4dcc-b80a-f8925c6d4505,b8522004-bd82-4aac-be5a-24790b3b07ef,bab862f8-a8e8-44eb-ba5a-cf40c2127ab8,510,144,2022-12-21 4:54:25,4.66,172
411d9f16-1f65-4f26-98dc-9a2f9fba41da,27e5c1c2-9a5d-4c0c-92e6-ab1f286e2ca6,2b38c9e9-3e7d-4321-9f74-a1dc419ee733,1294,286,2022-12-21 4:57:07,NA,166
4035bff7-acbe-4f06-bb4e-2eb63783a0db,79338676-7a52-4a97-850e-03f25ecb14b3,4fc1e794-a29e-4e1a-9eb0-c873331c8bcb,1644,264,2022-12-21 4:57:30,4.74,392
128a5f04-54ae-4718-bc13-7c533233aba6,4961b524-4b7d-4310-b6e3-b8be151535b8,4e13db6e-b92b-4cd8-b7aa-89ba45fdb919,1767,472,2022-12-21 5:06:15,4.75,77
31c69bb0-5c38-4ff9-9886-486069dbe7ef,898c065a-9be7-4200-87a9-5420ff21cf35,e0c31909-488e-4b5d-8c94-2100c5af871f,978,170,2022-12-21 15:00:28,4.71,87
f0cbe611-13b6-466a-a43d-70440f805017,9a6d3166-c293-4718-8988-f4dea4949b9b,820531cb-0058-42ad-aba3-7a10a574290c,1600,228,2022-12-21 4:54:25,5,259
3fb0fb02-7348-4072-919b-afd313d138c6,afe12692-a486-444c-bcf0-6666a316eeee,fd45e798-178c-4779-bc66-004ce76f1292,995,316,2022-12-21 5:12:38,NA,175
50e56cdb-b7d8-42c9-bbd8-825c92c19c8e,ff229a11-9f7a-4e26-9fe2-f49f7082fd78,1e4232a6-b266-4f64-aadc-d401114c6342,1715,481,2022-12-21 15:01:49,NA,177
61057ea5-c891-4e94-ab0d-7c66b3f27f7b,b8522004-bd82-4aac-be5a-24790b3b07ef,358361ba-21ae-447c-a91d-44dcb1c0a381,273,102,2022-12-21 4:54:26,4.84,172
c4919bcf-3a59-40ba-91d6-92daf615aa52,d000dd6e-0953-4f1d-9cbc-8a726d2cb38f,008dab8a-b0af-4a2b-8c05-aba9a8e1cb23,1563,399,2022-12-21 4:58:00,4.83,155
2f6abd75-2c8a-4f86-9712-29af707de041,29b89a7e-0922-403e-952a-0babf9090323,6c2a0089-773b-434c-b5d7-f8b6df4b75e7,1808,407,2022-12-21 5:28:48,NA,80
c0e8b56b-f72b-41b6-9327-c948b9600554,2e0dbeb5-ec18-49fa-811b-a89a53ac0e7a,770a8d1e-de6d-4bd1-a558-700f427e7501,761,198,2022-12-21 5:32:27,NA,68
3a515412-3fd5-4cf1-aeec-4d0581f0a44e,ff229a11-9f7a-4e26-9fe2-f49f7082fd78,31bf98b4-924c-4ccd-bbf7-43dd1d899175,897,265,2022-12-21 15:01:53,4.83,177
a6389b55-3578-4407-ac19-62665f2df59f,98e55e68-5398-4927-9afd-7482694e9efc,88b0b0b4-c053-4049-8535-8548577dc5f1,1645,360,2022-12-21 15:07:25,4.71,210
1ccea692-46db-45d3-a8ca-4f531c44a364,4389cf99-c99f-4430-8023-f65b44bfa75b,5ef6ce6f-4811-4206-ad03-5b7497441c4a,1640,452,2022-12-21 4:54:34,NA,310
