search_request_id,search_request_created_at,estimated_duration,estimated_distance
874f92dc-39fc-46f5-96da-19c4b483d169,2022-12-20T18:43:00Z,2539,30300
17ad3a07-6f93-45c3-8b98-c8da8270c98b,2022-12-20T18:57:48Z,1976,16827
d07ab9b5-0a42-4f1e-a419-69ec8444c8fd,2022-12-20T18:40:36Z,2475,29370
fb9314cf-968d-45c2-aaba-489a8de893d2,2022-12-20T18:50:22Z,3645,20611
deb19fc7-25d0-418f-894e-d86440a91b3d,2022-12-20T18:33:08Z,760,5351
c1824742-2858-4301-8b8f-a71a45aea1b0,2022-12-20T18:36:05Z,576,3900
c4896f5e-1833-4094-8465-b91aec27df34,2022-12-20T18:46:41Z,1893,12210
baf8581c-d067-4a06-b1eb-594f105e11b3,2022-12-20T18:47:43Z,375,1649
5954d351-e354-4789-8775-a55bb002e7a0,2022-12-20T18:49:29Z,1893,12210
7a432000-bf72-46e7-93d0-2681c48210ee,2022-12-20T18:51:27Z,575,2045
9db98a7e-2fb9-495d-8d85-6aa908b9b0b2,2022-12-20T18:52:24Z,575,2045
866258c3-e06e-4f46-bd14-f39bc3322864,2022-12-20T18:53:18Z,3575,20407
b558b524-0389-44d4-b3d0-b79f57433c07,2022-12-20T18:55:06Z,3028,22172
eb81829b-8898-421b-a92e-1831eaed793f,2022-12-20T18:59:33Z,995,5385
74ddca60-4144-44a3-af24-9e90cd594988,2022-12-20T20:03:28Z,2171,21319
ab579f66-68a0-4b98-ac6a-07c83b04b834,2022-12-20T19:01:29Z,925,4828
a5367fea-f719-4cad-9eb7-514cc0c9d848,2022-12-20T19:28:07Z,554,2673
10c6faf2-7e54-4c30-a2c5-39a323a049cf,2022-12-20T19:47:05Z,2855,18520
4e1fc0ee-5582-4938-b60f-fb1e569d0827,2022-12-20T19:48:04Z,2855,18518
dbcaa8c4-a152-493f-8720-9b339853cae9,2022-12-20T19:48:32Z,2855,18518
8398e7d0-7f2a-415c-a84c-5cface676b84,2022-12-20T19:51:55Z,2855,18518
75885b8e-c4a6-4245-b15f-e0afea948262,2022-12-20T19:52:29Z,2855,18518
02a87679-738a-48bd-a8ac-303ae0edc93f,2022-12-20T19:55:56Z,962,4512
0ef73f84-4fc6-49ed-af8a-69e37cce09f9,2022-12-20T19:59:23Z,3632,30859
bade831a-fb4c-4e6b-8c01-6ea9fbf86e1b,2022-12-20T20:01:18Z,2633,19871
c36d2f43-919a-4451-b51b-97c6eda49029,2022-12-20T20:01:52Z,2633,19872
8422c28a-5a46-4488-a80b-d2789d44bbb2,2022-12-20T20:02:19Z,2172,21319
7efd0cb1-0270-4018-8700-9ea1aff8e023,2022-12-20T20:02:53Z,2171,21319
ede64365-bf18-486f-87b1-51925bbd797a,2022-12-20T20:04:40Z,2084,13732
7f8f9138-c87d-404c-a3d0-39057bd4568b,2022-12-20T20:05:14Z,763,3442
cea354f3-8f49-44e4-8500-b0abe5faf3ce,2022-12-20T20:08:25Z,3874,25653
65b75a95-0f29-4fc6-98a8-09f58863f8c1,2022-12-20T20:08:13Z,773,3510
a3440c72-01f1-42d1-893b-d6b22bbde90b,2022-12-20T20:10:44Z,2978,21364
62e9bbc8-f5b2-41ef-9087-a2fea38f7a32,2022-12-20T20:12:08Z,647,3435
f5cc1648-11be-4b6b-a33b-dd0b8493a055,2022-12-20T20:54:47Z,861,4785
4be77778-3192-429d-b27e-7c580a2ddc9a,2022-12-20T22:11:04Z,1013,4993
5f816982-b320-486a-a33e-b7e05dee19b4,2022-12-20T22:45:30Z,1254,6668
0ca37dde-accc-4396-b2a7-6a64ced9d69a,2022-12-20T22:57:50Z,599,2426
700c62da-0d95-49fe-b2d6-c2b6b83e607e,2022-12-20T22:58:25Z,542,3269
91200622-c973-4c6b-8ca2-e46ade5ca2d1,2022-12-20T22:59:34Z,542,3269
400011a8-9ded-47c4-ac69-6bed27a12ec5,2022-12-20T23:00:33Z,600,2427
89ce9424-575f-47da-bdcc-4f103e1eccc0,2022-12-20T23:01:26Z,542,3269
5804fc43-71f5-48aa-9f86-f123d435cf8c,2022-12-20T23:03:54Z,1443,7715
92cb6eb0-2954-4158-a331-7e1133e22c30,2022-12-20T23:06:41Z,542,3269
1a1e30e3-1cf8-4bb7-941d-5ea78e261e97,2022-12-20T23:08:20Z,542,3269
79356984-64c8-479c-b320-ed26500df2c0,2022-12-20T23:25:33Z,412,1621
c5a614bb-dc45-49f8-9e2f-baca38ac13c9,2022-12-20T23:43:15Z,458,2371
68a9b894-f562-48f8-8201-33d8cae4eaf2,2022-12-20T23:26:35Z,412,1621
ad09fd43-d7d9-48d4-bf43-609d5cd477f0,2022-12-20T23:31:55Z,3692,31035
8e437c1b-00d4-4bce-baf8-dbe10d5db7c1,2022-12-20T23:32:31Z,3692,31035
9289c570-252a-41fc-b1a7-b984d62b3539,2022-12-20T23:33:14Z,639,3108
444ee86c-6492-4291-a92b-efb130589215,2022-12-20T23:39:46Z,716,3878
949d181c-1417-4a9a-a69b-0e149ff7839d,2022-12-20T23:43:10Z,2809,14410
078c2af5-f99a-49e3-a1ba-cec8f3d3f9d8,2022-12-20T23:43:11Z,651,3184
0c52515b-c02b-4a39-b87a-5be04efe2829,2022-12-20T23:43:55Z,650,3179
fcc9b8fd-1471-40f0-a26a-db364710a61e,2022-12-20T23:47:38Z,663,3319
68c8c7ce-b7a1-4fe4-b6b0-0a641f815746,2022-12-20T23:49:58Z,1214,10685
9e704064-a153-48b3-b834-62090fec9d51,2022-12-20T23:56:10Z,1094,5621
e54606a3-9050-4c27-8ea2-ac34a0538b2e,2022-12-20T23:57:28Z,1390,7399
d2b2246e-b840-494d-9145-eb698e749131,2022-12-20T23:58:21Z,1390,7400
9210fddd-651b-43ec-b5a9-d3e3de792439,2022-12-20T23:59:11Z,1390,7400
3e4d0ff9-01e0-4a24-8dec-5586614a95e9,2022-12-21T00:00:39Z,1390,7400
bc2e6094-204f-4812-8e44-d32de9dd35f9,2022-12-21T00:01:15Z,1684,11156
6cfce99e-fedb-4ac8-ab82-15951bcad853,2022-12-21T00:01:19Z,1859,14651
ec243a49-e83b-40e3-b53b-449cccae3c1e,2022-12-21T00:02:14Z,2821,22907
75ea2d65-603b-4179-a29f-dc6295f47b39,2022-12-21T00:03:28Z,1389,7147
f7b2d453-9ab3-4bb2-8cc5-782f9491a9bf,2022-12-21T00:07:47Z,1858,14649
aa0d0035-4025-4b1c-afc6-ada7cbd4a13e,2022-12-21T00:39:21Z,1335,7209
c4e2e3dc-316f-4b44-8db0-96bb8bd3763b,2022-12-21T01:03:34Z,3302,24637
